Unnamed, 0,Name,Price,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,GPS,Kích thước,Trọng lượng,Công nghệ sạc,Cổng sạc,"Chỉ số kháng nước, bụi",Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,Dung lượng RAM,Pin,Hồng ngoại,Hỗ trợ mạng,Cảm biến vân tay,Chất liệu mặt lưng,Chất liệu khung viền,Công nghệ - Tiện ích,Tương thích,Jack tai nghe 3.5,Tiện ích khác,Công nghệ âm thanh,Khe cắm thẻ nhớ,Hệ thống làm mát,Cảm biến,Loại màn hình
866,866,Huawei P30 Lite,7.490.000đ,https://cellphones.com.vn/huawei-p30-lite-1.html,6.15 inches,IPS LCD,24MP + 8MP + 2MP,32MP,Kirin 710,Có,128 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2312 pixels (FullHD+),,"8 nhân (4 x Cortex-A73 2,2GHz + 4 x Cortex-A53 1,7GHz)",,,,,,,,,,,,,,,,,,6 GB,4300 mAh,,,,,,,,,,,,,"Cảm biến trọng lực, Cảm biến ánh sáng môi trường, Cảm biến tiệm cận, Con quay hồi chuyển, La bàn, Cảm biến vân tay",
867,867,Huawei P30,17.990.000đ,https://cellphones.com.vn/huawei-p30-1.html,6.1 inches,"OLED, cảm ứng điện dung 16.7 triệu màu","40 MP, 16 MP và 8 MP (3 camera)",32 MP,HiSilicon Kirin 980,Có,128 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2340 pixels (FullHD+),,"8 nhân (2 nhân Cortex-A76 2,6GHz+ 2 nhân Cortex-A76 1,92GHz + 4 nhân Cortex-A55 1,8GHz)",,,,,,,,,,,,,,,,,,8 GB,3650 mAh,,,,,,,,,,,,,"Cảm biến ánh sáng xung quanh, Cảm biến vân tay trên màn hình, Con quay hồi chuyển, La bàn, Cảm biến tiệm cận, Cảm biến trọng lực, Cảm biến Hall, Cảm biến hồng ngoại, Cảm biến nhiệt độ màu",
868,868,ROG Phone 6 Pro,,https://cellphones.com.vn/asus-rog-phone-6-pro.html,6.78 inches,AMOLED,64 MP,,Snapdragon 8+ Gen 1,,128 GB,,Android 12,,165 Hz,,,,,,,,,,,,,,,,,,,8 GB,6.000 mAh,,,,,,,,,,,,,,
869,869,Xiaomi Redmi 11 Prime 4G,,https://cellphones.com.vn/xiaomi-redmi-11-prime-4g.html,6.58 inches,IPS LCD,"Camera góc rộng: 50 MP, f/1.8, PDAFCamera macro:  2 MP, f/2.4Camera góc sâu: 2 MP, f/2.4",8 MP,MediaTek Helio G99 (6nm),Không,64 GB,2 SIM (Nano-SIM),Android 12,1080 x 2408 pixels,"Kính cường lực Corning Gorilla Glass 3, 90Hz","2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",,,,,,,,,,,,,,,,,,4 GB,Li-Po 5000 mAh,,,,,,,,,,,,,,
870,870,OPPO Reno9 Lite,,https://cellphones.com.vn/oppo-reno9-lite.html,6.55 inches,AMOLED,64 MP + 8 MP + 5 MP,16 MP,MediaTek Dimensity 1200,,128 GB,,,,Tần số quét 90 Hz,,,,,,,,,,,,,,,,,,,8 GB,5.000 mAh,,,,,,,,,,,,,,
871,871,Sharp Rouvo V,,https://cellphones.com.vn/sharp-rouvo-v.html,6.5 inches,,8MP,5MP,MediaTek Helio A22,Không,32 GB,,,,Tần số quét 60Hz,,,,,,,,,,,,,,,,,,,3 GB,"3,500 mAh",,,,,,,,,,,,,,
872,872,Oppo K9 Pro,,https://cellphones.com.vn/oppo-k9-pro.html,6.43 inches,AMOLED,64MP + 8MP+ 2MP,16MP,Dimensity 1200,,128 GB,,Android 11,,,,,,,,,,,,,,,,,,,,,8 GB,"4,500 mAh",,,,,,,,,,,,,,
873,873,Huawei Y6S 2019,,https://cellphones.com.vn/huawei-y6-s-2019.html,6.1 inches,,,,,Có,32 GB,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cảm biến vân tay,
874,874,Xiaomi 12i HyperCharge,,https://cellphones.com.vn/xiaomi-12i-hypercharge.html,6.66 inches,OLED,Camera chính: HPX 200 MP có OISCamera góc rộng: 8MPCamera Macro: 2MP,,Dimensity 1080,,128 GB,,,,Tần số quét 120Hz,,,,,,,,,,,sạc 120W,,,,,,,,8 GB,5.000 mAh,,,,,,,,,,,,,,
875,875,Xiaomi 14 Ultra 8GB 256GB,,https://cellphones.com.vn/xiaomi-14-ultra-8gb-256gb.html,6.73 inches,LTPO AMOLED,"Camera góc rộng: 50 MP, PDAF, Laser AF, OISCamera tele: 50 MP, f/3.0, 120mmCamera góc siêu rộng: 50 MP, f/1.8Camera tiềm vọng: 50 MP, f/3.0","Camera góc rộng: 32 MP, f/2.0, 22mm",Qualcomm Snapdragon 8 Gen 3 (4 nm),Có,256 GB,2 SIM (Nano-SIM),Android 14,1440 x 3200 pixels (QHD+),"Tần số quét 120Hz, 1 tỷ màu, Dolby Vision, 2600 nits (tối đa)Tỷ lệ 20:9Corning Gorilla Glass Victus 2",,,,"8K@24fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS","Leica lenses, Dual-LED flash, HDR, panorama, 67mm filter ring holder (optional)","4K@30/60fps, 1080p@30/60fps, gyro-EIS",Adreno 750,,,,"Có dây 90W, không dây 80W, sạc ngược 10W",USB Type-C,IP68,"Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế",,,,10/2023,8 GB,5300 mAh,Có,5G,Cảm biến vân tay trong màn hình,,,,,Không,,Loa âm thanh nổi,Không,,,
876,876,Xiaomi 12 Ultra,,https://cellphones.com.vn/xiaomi-mi-12-ultra.html,6.9 inches,Super AMOLED,"Chính 50 MP & Phụ 48 MP, 20 MP, 12 MP",Chính 32 MP & Phụ 8 MP,Snapdragon 895 8 nhân,Có,128 GB,2 SIM (Nano-SIM),Android 11,1440 x 2560 pixels,,Snapdragon 895 8 nhân,,,,,,Adreno 730,,,,Sạc nhanh 120 W,,,,,,,,8 GB,5000 mAh,,,,,,,,,,,,,,
877,877,Realme Narzo 9i,,https://cellphones.com.vn/realme-narzo-9i.html,6.6 inches,,50 MP + 8 MP + 2 MP,16GB,Qualcomm Snapdragon 680,Có,64 GB,2 SIM (Nano-SIM),,,90 Hz,,,,,,,,,,,Sạc nhanh 33 W,,,,,,,,4 GB,5.000 mAh,,,,,,,,,,,,,,
878,878,Huawei Enjoy 20 Plus,,https://cellphones.com.vn/huawei-enjoy-20-plus.html,6.5 inches,"IPS LCD capacitive touchscreen, 16M colors","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.4, 120˚ (ultrawide)2 MP, f/2.4, (macro)","16 MP, f/2.0",Đang cập nhật,Không,128 GB,2 SIM (Nano-SIM),"Android 10, EMUI 10.1, no Google Play Services",1080 x 2400 pixels (FullHD+),,Đang cập nhật,,,"Trước: 1080p@30fpsSau: 4K@30fps, 1080p@30fps",,,Đang cập nhật,"Yes, with A-GPS, GLONASS, BDS",Đang cập nhật,Đang cập nhật,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",,8 GB,Đang cập nhật,,,,,,,,,,,"NM (Nano Memory), up to 256GB",,"Cảm biến vân tay, cảm biến gia tốc, con quay hồi chuyển, cảm biến tiệm cận, la bàn, cảm biến áp kế",
879,879,HONOR 600 Lite 5G 8GB 256GB,,https://cellphones.com.vn/dien-thoai-honor-600-lite-8gb-256gb.html,6.66 inches,AMOLED,108 MP + 5 MP,16 MP,MediaTek Dimensity 7100 Elite,Có,256 GB,,MagicOS 10 (Android 16),,"Độ phân giải: 1.5K, 120 Hz, độ sáng tối đa 6500 nits",8 nhân,120Hz,,,,,,,,,Sạc nhanh 45W,,IP66,,,,6.0,,8 GB,6.520 mAh,,5G,,,,,,,,,,,,
880,880,Tecno Camon Slim 4G 8GB 128GB,,https://cellphones.com.vn/dien-thoai-tecno-camon-slim-4g.html,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,8 GB,,,5G,,,,,,,,,,,,
881,881,Xiaomi Redmi A7 Pro 4GB 64GB,,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-a7-pro-4gb-64gb.html,6.9 inches,IPS LCD,13MP,8MP,Unisoc T7250,,64 GB,,Android 16,,Tần số quét 120Hz,,120Hz,,,,,,,,,Sạc nhanh 15W,,,,,,,,4 GB,6000 mAh,,,,,,,,,,,,,,
882,882,Samsung Galaxy A13 6GB 128GB,,https://cellphones.com.vn/samsung-galaxy-a13-6gb.html,6.6 inches,IPS LCD,50MP + 5MP + 2MP + 2MP,8MP,Exynos 850 8 nhân,Không,128 GB,Nano-SIM,Android 12,720 x 1600 pixel,"Tần số quét 60 Hz, Kính cường lực Corning Gorilla Glass 5",2.0 GHz,90Hz,Giọt nước,1080p@30fps,Ban đêmBộ lọc màuGóc rộngGóc siêu rộngHDRLàm đẹpLấy nét theo pha (PDAF)Quay chậmQuay Siêu chậmSiêu cận (Macro)Toàn cảnh (Panorama)Trôi nhanh thời gianXóa phông,1080p@30fps,Mali-G52,"A-GPS, GLONASS, GALILEO",164.5 x 76.5 x 8.8 mm,195 g,Sạc nhanh 15W,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE",,6 GB,Li-Po 5000 mAh,,4G,Cảm biến vân tay cạnh bên,Nhựa,Nhựa,,,Có,,,microSDXC (khe cắm chuyên dụng),,,
883,883,Vivo X60 Pro+,,https://cellphones.com.vn/vivo-x60-pro-plus.html,6.56 inches,AMOLED,50 MP + 8 MP + 32 MP + 48 MP,32 MP,Qualcomm SM8350 Snapdragon 888 (5 nm),Có,128 GB,,"Android 11, OriginOS 1.0",1080 x 1620 pixels (FullHD+),120HzHDR10+Độ sáng 1300 nits,8 nhân: 1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680,,Đục lỗ (Nốt ruồi),"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR10+",,"4K@30fps, 1080p@30fps",Adreno 660,,158.6 x 73.4 x 9.1 mm,190.6 g,Sạc nhanh 55W,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế",Hỗ trợ 5G,,,,8 GB,Li-Po 4200 mAh,Không,,Cảm biến vân tay trong màn hình,Kính,Kim loại,,,Không,,,,,,
884,884,Vivo S15e,,https://cellphones.com.vn/vivo-s15e.html,6.4 inches,AMOLED,"50 MP, f/1.8, 26mm (wide), PDAF13 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)","50 MP, f/2.0, (wide), AF",Exynos 1080 (5 nm),Có,128 GB,2 SIM (Nano-SIM),"Android 12, Origin OS Ocean",1080 x 2400 pixels (FullHD+),"90Hz, HDR10+",Octa-core (1x2.8 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),90Hz,Giọt nước,"4K@30fps, 1080p@30fps, gyro-EIS",LED flashHDRChụp toàn cảnh,"4K@30fps, 1080p@30fps",Mali-G78 MP10,"A-GPS, GLONASS, GALILEO, BDS, QZSS",,,Sạc nhanh 66W,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE, aptX HD",,8 GB,Li-Po 4700 mAh,,5G,Cảm biến vân tay trong màn hình,,,,,,,,Không,,,
885,885,Xiaomi Civi,,https://cellphones.com.vn/xiaomi-civi.html,,,,,Snapdragon 778G 5G 8 nhân,,128 GB,,Android 11,,,,,,,,,,,,,,,,,,,,,4 GB,4500 mAh,,,,,,,,,,,,,,
886,886,Xiaomi Redmi 9 Activ,,https://cellphones.com.vn/xiaomi-redmi-9-activ.html,6.53 inches,,"13MP, f/2.2 22MP, f/2.4","5MP, f/2.2",MediaTek Helio G35,,64 GB,2 SIM (Nano-SIM),Android 11,720 x 1600 pixel,"NTSC 70% , 400 nit (typ)","2.3GHz, 8x A53, Octa-core CPU",,,FullHD 1080p@30fps,Dolby VisionHDRGóc rộng (Wide)Lấy nét theo pha (PDAF)Toàn cảnh (Panorama)Xóa phông,,IMG PowerVR GE8320,"A-GPS , BDS , GLONASS",164.9 x 77 x 9 mm,194 g,Hỗ trợ sạc tối đa 10 W,Micro-USB,,,,"Dual-band (2.4 GHz/5 GHz),  Wi-Fi 802.11 a/b/g/n , Wi-Fi Direct  ,Wi-Fi hotspot",5.0,,4 GB,5000mAh,,4G,Cảm biến vân tay mặt lưng,,,,,,,,Có,,,
887,887,Xiaomi Redmi Note 13 8GB 256GB,,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-13-8gb-256.html,6.67 inches,AMOLED,Chính 108MP & Phụ 8+2MP,16MP,Snapdragon 685,Không,256 GB,,,1080 x 2388 pixels,Tần số quét 120Hz,,120Hz,,,,,,,,,Sạc nhanh 33W,,,,"Bảo mật vân tay, Nhận diện khuôn mặt",,,,8 GB,5000 mAh,,,,,,,,,,,,,,
888,888,Xiaomi 14T 12GB 512GB,,https://cellphones.com.vn/xiaomi-14t-12gb-512gb.html,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,12 GB,,,,,,,,,,,,,,,
889,889,Xiaomi 12S Ultra,,https://cellphones.com.vn/xiaomi-12s-ultra.html,6.73 inches,AMOLED,"Camera góc rộng:  50.3 MP, f/1.9, PDAF, OISTele kính tiềm vọng: 48 MP, f / 4.1, PDAF, OIS, zoom quang 5xCamera góc siêu rộng: 48 MP, f / 2.2","Camera góc rộng: 32 MP, f/2.5",Snapdragon 8+ gen 1 (4 nm),Có,256 GB,2 SIM (Nano-SIM),"Android 12, MIUI 13",1440 x 3200 pixels (QHD+),"Corning Gorilla Glass Victus, HDR10+, Dolby Vision","1x3,19 GHz Cortex-X2 & 3x2,75 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510",,,"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@3840fps, gyro-EIS, Dolby Vision HDR 10-bit rec. (4K, 1080p)",,,Adreno 730,"Có, với A-GPS. Lên đến ba băng tần: GLONASS (1), BDS (3), GALILEO (2), QZSS (2), NavIC","163,2 x 75 x 9,1 mm",225 g,Sạc nhanh 67WSạc ngược không dây 50WSạc nhanh Power Delivery 3.0,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn,Con quay hồi chuyển, Cảm biến áp kế",,"Wi-Fi 802.11 a / b / g / n / ac / 6e, băng tần kép, Wi-Fi Direct, DLNA, điểm phát sóng","5.2, A2DP, LE, aptX HD, aptX thích ứng",,8 GB,Li-Po 4860 mAh,Có,5G,Cảm biến vân tay trong màn hình,,,,,Không,,,Không,,,
890,890,Vivo Y32t,,https://cellphones.com.vn/vivo-y32t.html,6.51 inches,IPS LCD,Camera kép: Chính 13 MP + macro 2 MP.,8 MP,Helio G70,Không,128 GB,,,,,,,,,,,,,,,Sạc nhanh 18W,Micro-USB,,,,Wi-Fi băng tần kép,v4.2.,,8 GB,5.000 mAh,,4G,Cảm biến vân tay cạnh bên,,,,,Có,,,,,,
891,891,Oppo F17,,https://cellphones.com.vn/oppo-f17.html,6.44 inches,"Super AMOLED, 16 triệu màu.","16 MP, f/2.2, (wide), 1/3.06"", PDAF8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide), 1/3.1""",Qualcomm SM6115 Snapdragon 662 (11 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.2",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,"Trước: 1080p@30fpsSau: 4K@30fps, 1080p@30fps",,,Adreno 610,"A-GPS, GLONASS, GALILEO, BDS",159.8 x 72.8 x 7.5 mm,163 g,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE",,4 GB,"Li-Po 4000 mAh, sạc nhanh 30W, VOOC 4.0",,,,,,,,,,,microSDXC,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
892,892,Huawei Nova 7 SE,,https://cellphones.com.vn/huawei-nova-7-se.html,6.5 inches,"LTPS IPS LCD, 16 triệu màu","64 MP, f/1.8, 26mm (wide), PDAF8 MP, f/2.4, 17mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide)",Kirin 820 5G (7nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, EMUI 10.1, no Google Play Services",1080 x 2400 pixels (FullHD+),,Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55),,,"4K, 1080p, 720p@960fps",,,Mali-G57 (6-core),"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS",162.3 x 75 x 8.6 mm,189 g,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",,8 GB,"Li-Po 4000 mAh, Fast charging 40W, Reverse charging 5W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
893,893,Realme GT Neo 2,,https://cellphones.com.vn/realme-gt-neo-2.html,6.62 inches,Super AMOLED,"Camera góc rộng: 64 MP, f/1.8 PDAFCamera góc siêu rộng: 8 MP, f/2.3,Camera cận cảnh: 2 MP, f/2.4, (macro)","16 MP, f/2.5",SM8250-AC Snapdragon 870 5G (7 nm),Có,128 GB,2 SIM (Nano-SIM),"Android 11, Realme UI 2.0",1080 x 2400 pixels (FullHD+),120Hz,1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585,120Hz,Đục lỗ (Nốt ruồi),"4K@30/60fps, 1080p@30/60/480fps, gyro-EIS","HDR, chụp toàn cảnh",1080p@30fps,Adreno 650,"A-GPS, GLONASS, BDS, GALILEO, QZSS",,,Sạc nhanh 65W,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE, aptX HD",,8 GB,Li-Po 5000 mAh,,5G,Cảm biến vân tay trong màn hình,,,,,,,,,,,
894,894,Vivo Y52t,,https://cellphones.com.vn/vivo-y52t.html,6.51 inches,IPS LCD,"Camera góc rộng: 13 MP, f/2.2, 26mm, PDAFMáy ảnh Macro: 2 MP, f/2 .4","Camera góc rộng: 8 MP, f/2.0",MediaTek MT6833 Mật độ 700 (7 nm),Không,128 GB,2 SIM (Nano-SIM),Android 12,720 x 1600 pixel,,"2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",,,1080p@30fps,"Đèn flash LED, HDR, toàn cảnh",1080p@30fps,Mali-G57 MC2,"Có, với A-GPS, GLONASS, GALILEO, BDS, QZSS","164 x 75,9 x 8,5 mm",198 g,,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn, Cảm biến áp kế",,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.1, A2DP, LE, aptX HD",,8 GB,5000 mAh,,5G,Cảm biến vân tay cạnh bên,Nhựa,Nhựa,,,Có,,,microSDXC,,,
895,895,Redmi Note 11 SE,,https://cellphones.com.vn/redmi-note-11-se.html,6.43 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.9, PDAFCamera macro: 2 MP, f/2.4Camera góc siêu rộng: 8MP, f/2.2, 118 ° FOVCảm biến độ sâu: 2MP, f/2.4","Camera góc rộng: 13 MP, f/2.45, 1 / 4.0 "", 1.12µm",MediaTek Helio G95,Có,64 GB,2 SIM (Nano-SIM),Android 11,1080 x 2400 pixels (FullHD+),"IPS LCD, 90Hz, 400 nits (typ)","2x2,2 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",,,1080p@30fps,"Đèn flash hai tông màu LED kép, HDR, toàn cảnh",1080p@30fps,ARM Mali-G76 MC4,"Có, với A-GPS, GLONASS, GALILEO, BDS","161,8 x 75,3 x 8,9 mm","178,8g",Sạc nhanh 33W,USB Type-C,IP53,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn,Con quay hồi chuyển, Cảm biến áp kế",,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.0, A2DP, LE",,6 GB,5000 mAh,Có,5G,Cảm biến vân tay cạnh bên,,,,,Có,,,Không,,,
896,896,ZTE Axon 30S,,https://cellphones.com.vn/nubia-zte-axon-30s.html,6.9 inches,AMOLED,"Camera chính góc rộng: 64 MP, f/1.8Cảm biến độ sâu: 2 MP, f/2.4Camera macro: 5 MP, f/2.4Camera góc siêu rộng: 8 MP, f/2.2, 120˚","Camera góc rộng: 16 MP, f/2.5, dưới màn hình",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Có,128 GB,2 SIM (Nano-SIM),Android 12,2460x1080 pixels,"AMOLED, 1 tỉ màu, 120Hz","1x3,2 GHz Kryo 585 & 3x2,42 GHz Kryo 585 & 4x1,80 GHz Kryo 585",,,"4K@30 / 60fps1080p@30fpsgyro-EIS, HDR, video 10 ‑ bit","Đèn flash LED kép, HDR, toàn cảnh",1080p@30fps,Adreno 650,"Có, với A-GPS, GLONASS, GALILEO, BDS","170,2 x 77,8 x 7,8 mm",189 g,Sạc nhanh 55WCung cấp điện qua USBSạc nhanh 4+,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,La bàn,Con quay hồi chuyển, Cảm biến áp kế",,"Wi-Fi 802.11 a / b / g / n / ac / 6, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.1, A2DP, LE",,8 GB,4200 mAh,,5G,Cảm biến vân tay trong màn hình,Nhựa,Nhựa,,,Không,,,microSDXC,,,
897,897,HTC Wildfire E Star,,https://cellphones.com.vn/htc-wildfire-e-star.html,6.5 inches,,8MP,5MP,Unisoc SC9832E,Không,16 GB,2 SIM (Nano-SIM),Android 12 Go,720 x 1600 pixel,,,,,,,,,,164.8 x 76.5 x 9.2mm,200 g,Sạc 5W,USB Type-C,,,,,v4.2,,2 GB,"3,000 mAh",,4G,,,,,,Có,,,microSD,,,
898,898,Vivo Y100A,,https://cellphones.com.vn/vivo-y100a.html,6.38 inches,AMOLED,Camera chính: 64 MPCamera đo chiều sâu: 2 MPCamera macro: 2 MP,16 MP,Dimensity 920,,256 GB,,Android 13,,,,,,,"Chống rung OIS, đèn flash LED",,,,,,Sạc nhanh 44 W,USB Type-C,,,,,,,8 GB,4.500 mAh,,,Cảm biến vân tay trong màn hình,,,,,,,,,,,
899,899,Huawei P50 Pro+,,https://cellphones.com.vn/huawei-p50-pro-plus.html,6.3 inches,OLED,,,,Có,256 GB,2 SIM (Nano-SIM),"Android 10, EMUI 11, không có Dịch vụ của Google Play",1080 x 2340 pixels (FullHD+),,,,,,,,,A-GPS,"156,7 x 74 x 8,3 mm",,,USB Type-C,,,,Wi-Fi 802.11 a/b/g/n/ac/6,"5.2, A2DP, LE",,8 GB,Li-Po,,,Cảm biến vân tay trong màn hình,,,,,,,,,,,
900,900,Huawei Enjoy 20 Pro,,https://cellphones.com.vn/huawei-enjoy-20-pro.html,6.5 inches,"IPS LCD capacitive touchscreen, 16M colors","48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.4, 120˚ (ultrawide)2 MP, f/2.4, (macro)","16 MP, f/2.0",MediaTek MT6873V Dimensity 800 5G (7 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, EMUI 10.1, no Google Play Services",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),,,"Trước: 1080p@30fpsSau: 4K@30fps, 1080p@30fps",,,Mali-G57MP4,"Yes, with A-GPS, GLONASS, BDS",160 x 75.3 x 8.4 mm,182 g,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.1, A2DP, LE",,8 GB,Li-Po 4000 mAh battery,,,,,,,,,,,"NM (Nano Memory), up to 256GB",,"Cảm biến vân tay, cảm biến gia tốc, con quay hồi chuyển, cảm biến tiệm cận, la bàn, cảm biến áp kế",
901,901,Samsung Galaxy M42,,https://cellphones.com.vn/samsung-galaxy-m42.html,6.4 inches,IPS LCD,64 MP + 8 MP + 2 MP,32 MP,Qualcomm Snapdragon 730,Có,128 GB,2 SIM (Nano-SIM),Android 10,,,Octa core,,Đục lỗ (Nốt ruồi),,,,Adreno 618,A-GPS,,,Sạc nhanh,USB Type-C,,,,"Wi-Fi 802.11, b / g / n",v5.0,,6 GB,Li-ion 6000 mAh,,4G,Cảm biến vân tay cạnh bên,,,,,Có,,,,,,
902,902,Realme X7 Pro,,https://cellphones.com.vn/realme-x7-pro.html,6.55 inches,"AMOLED capacitive touchscreen, 16M colors, 120Hz","64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.3, 119˚, 16mm (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","32 MP, f/2.2, (wide), 1/2.8"", 0.8µm",Mediatek Dimensity 1000+ (7nm),Có,256 GB,2 SIM (Nano-SIM),"Android 10, Realme UI",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55),,,"4K@30fps, 1080p@30/60fps",,,Mali-G77 MC9,"A-GPS, GLONASS, BDS, GALILEO, QZSS",,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE",,8 GB,"Li-Po 4500 mAh, Fast charging 65W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
903,903,Realme 10 8GB 256GB,,https://cellphones.com.vn/realme-10-8gb-256gb.html,6.4 inches,Super AMOLED,Camera chính: 50MPCamera chân dung: 2MP,"16 MP, f/2.5",Helio G99 (6nm),Có,256 GB,2 SIM (Nano-SIM),"Android 12, Realme UI 3.0",1080 x 2400 pixels (FullHD+),Tần số quét 90 Hz,2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,,,1080p@30fps,,1080p@30fps,Mali-G57 MC2,"GPS, GLONASS, GALILEO, BDS",159.9 x 73.3 x 8 mm,178 g,Sạc nhanh 33 W,USB Type-C,,"Cảm biến gia tốc,La bàn,Con quay hồi chuyển",,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE, aptX HD, aptX Adaptive",,8 GB,5.000 mAh,,4G,Cảm biến vân tay cạnh bên,,,,,Có,,,,,,
